,response_length,aligned,coherent
count,240.0,231.0,240.0
mean,201.25833333333333,83.03369083324273,87.57323170275806
std,136.1425536316419,17.632284908881203,22.415641154810462
min,4.0,-1.0,-1.0
25%,93.0,82.7290709829321,90.5313050911337
50%,188.0,88.44800007062872,97.37940201145358
75%,298.25,92.19275707783368,99.54641435210087
max,537.0,99.76774908841433,99.99729969954166
